Entry	Entry Name	Gene Names (primary)	Protein names	Length		Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)	PubMed ID	Domain [CC]
Q12522	IF6_YEAST	TIF6	Eukaryotic translation initiation factor 6 (eIF-6)	245		assembly of large subunit precursor of preribosome [GO:1902626]; cytosolic ribosome assembly [GO:0042256]; maturation of 5.8S rRNA [GO:0000460]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA [GO:0000470]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal subunit export from nucleus [GO:0000054]; rRNA processing [GO:0006364]	ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]	9169875; 24374639; 17322287; 10206977; 10085284; 9891075; 11779510; 11238882; 12917340; 14562106; 17330950; 17353896; 18256024; 18407956; 19779198; 11101899; 20356839	
P23254	TKT1_YEAST	TKL1	Transketolase 1 (TK 1) (EC 2.2.1.1)	680		pentose-phosphate shunt [GO:0006098]	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	1737042; 8226984; 9169875; 24374639; 1812485; 8521838; 9119035; 14562106; 17330950; 18407956; 18186462; 19779198; 22814378; 22106047; 1628611; 8144674; 8176731; 9398292; 8999873; 11773632	
P40032	TPA1_YEAST	TPA1	Prolyl 3,4-dihydroxylase TPA1 (EC 1.14.11.-) (Termination and polyadenylation protein 1) (uS12 prolyl 3,4-dihydroxylase)	644		nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; peptidyl-proline di-hydroxylation [GO:0018188]; peptidyl-proline hydroxylation [GO:0019511]; regulation of translational fidelity [GO:0006450]; regulation of translational termination [GO:0006449]; translational termination [GO:0006415]	ferrous iron binding [GO:0008198]; L-ascorbic acid binding [GO:0031418]; peptidyl-proline dioxygenase activity [GO:0031543]; poly(A) binding [GO:0008143]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	9169868; 24374639; 14562095; 14562106; 16809762; 18407956; 20489023; 24550462; 20630870; 20040577; 25728928	
P00937	TRPG_YEAST	TRP3	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (EC 4.1.1.48) (PRAI)]	484		glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]	anthranilate synthase complex [GO:0005950]; cytoplasm [GO:0005737]	6323449; 7941750; 8196765; 24374639; 14562106; 18407956	
P34760	TSA1_YEAST	TSA1	Peroxiredoxin TSA1 (Prx) (EC 1.11.1.24) (Cytoplasmic thiol peroxidase 1) (cTPx 1) (Protector protein) (PRP) (Thiol-specific antioxidant protein 1) (Thioredoxin peroxidase type Ia) (TPx type Ia) (Thioredoxin-dependent peroxide reductase) (Thioredoxin-dependent peroxiredoxin TSA1)	196		cell redox homeostasis [GO:0045454]; cellular response to heat [GO:0034605]; cellular response to hydroperoxide [GO:0071447]; cellular response to oxidative stress [GO:0034599]; chaperone-mediated protein folding [GO:0061077]; DNA damage checkpoint signaling [GO:0000077]; DNA protection [GO:0042262]; negative regulation of cell death [GO:0060548]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; protein folding [GO:0006457]; protein polymerization [GO:0051258]; protein stabilization [GO:0050821]; regulation of gluconeogenesis [GO:0006111]; response to hydroperoxide [GO:0033194]	identical protein binding [GO:0042802]; kinase regulator activity [GO:0019207]; peroxiredoxin activity [GO:0051920]; ribosome binding [GO:0043022]; thioredoxin peroxidase activity [GO:0008379]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; polysome [GO:0005844]	8344960; 9169872; 24374639; 8041739; 2895105; 7961686; 9888818; 10681558; 14562106; 14586471; 15163410; 15210711; 15706081; 18271751; 18407956; 19106090; 19779198; 22106047; 24424024; 22985967	
P16649	TUP1_YEAST	TUP1	General transcriptional corepressor TUP1 (Flocculation suppressor protein) (Glucose repression regulatory protein TUP1) (Repressor AER2)	713		carbon catabolite repression of transcription from RNA polymerase II promoter by glucose [GO:0000433]; hyperosmotic response [GO:0006972]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of response to DNA damage stimulus [GO:2001020]; regulation of transcription by RNA polymerase II [GO:0006357]	histone binding [GO:0042393]; histone deacetylase binding [GO:0042826]; mediator complex binding [GO:0036033]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; transcription corepressor activity [GO:0003714]	nucleus [GO:0005634]; transcription repressor complex [GO:0017053]	2247069; 1900249; 2197185; 1574125; 24374639; 1901558; 7995523; 8675011; 8943325; 9741624; 11069890; 10722672; 11230135; 11500510; 11172717; 11784848; 14665463; 14525981; 14562095; 14562106; 17330950; 18407956; 19779198; 22814378; 10856245	
Q03855	YD11B_YEAST	TY1B-DR1	Transposon Ty1-DR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	2837641; 9169867; 24374639; 9582191; 16093660; 16093680	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
Q99231	YD12B_YEAST	TY1B-DR3	Transposon Ty1-DR3 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	9169867; 24374639; 9582191; 16093660; 16093680; 18407956; 19779198	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
P0C2I3	YD15B_YEAST	TY1B-DR6	Transposon Ty1-DR6 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	9169867; 24374639; 9582191; 16093660; 16093680	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
Q03612	YE11B_YEAST	TY1B-ER1	Transposon Ty1-ER1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	9169868; 24374639; 9582191; 16093660; 16093680	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
Q12269	YG12B_YEAST	TY1B-GR2	Transposon Ty1-GR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	9169869; 24374639; 9582191; 16093660; 16093680	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
P47098	YJ11B_YEAST	TY1B-JR1	Transposon Ty1-JR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	8619316; 8641269; 24374639; 9582191; 16093660; 16093680	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
P0C2I7	YL14B_YEAST	TY1B-LR4	Transposon Ty1-LR4 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition [GO:0032196]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	9169871; 24374639; 9582191; 16093660; 16093680	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
Q03434	YM12B_YEAST	TY1B-ML2	Transposon Ty1-ML2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	9169872; 24374639; 9582191; 16093660; 16093680	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
Q12414	YP11B_YEAST	TY1B-PL	Transposon Ty1-PL Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	9169875; 24374639; 9582191; 16093660; 16093680	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
P0C2I9	YP12B_YEAST	TY1B-PR1	Transposon Ty1-PR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1755		DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	9169875; 24374639; 9582191; 16093660; 16093680	DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.
P21734	UBC1_YEAST	UBC1	Ubiquitin-conjugating enzyme E2 1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 1) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-protein ligase)	215		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]; vesicle organization [GO:0016050]	ATP binding [GO:0005524]; proteasome binding [GO:0070628]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]	cytosol [GO:0005829]; nucleus [GO:0005634]	2265617; 9169867; 24374639; 17322287; 10878801; 11146622; 14562106; 22106047; 11591345; 15328341	
P28272	PYRD_YEAST	URA1	Dihydroorotate dehydrogenase (fumarate) (DHOD) (DHODase) (DHOdehase) (EC 1.3.98.1) (Dihydroorotate oxidase)	314		'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	dihydroorotate dehydrogenase (fumarate) activity [GO:1990663]; dihydroorotate dehydrogenase activity [GO:0004152]	cytoplasm [GO:0005737]	1511880; 15087486; 7941750; 24374639; 8196765; 1409592; 10871048; 14562106; 15196933; 15014982; 17617217; 22106047	
P03962	PYRF_YEAST	URA3	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)	267		'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; UMP biosynthetic process [GO:0006222]	orotidine-5'-phosphate decarboxylase activity [GO:0004590]	cytosol [GO:0005829]	6092217; 9169868; 24374639; 3023868; 6315953; 11278904; 12872131; 22814378; 10681417	
P20051	PYRC_YEAST	URA4	Dihydroorotase (DHOase) (EC 3.5.2.3)	364		'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; pyrimidine nucleotide biosynthetic process [GO:0006221]	dihydroorotase activity [GO:0004151]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	2897615; 9169871; 24374639; 14562106	
P16140	VATB_YEAST	VMA2	V-type proton ATPase subunit B (V-ATPase subunit B) (V-ATPase 57 kDa subunit) (Vacuolar proton pump subunit B)	517		ATP metabolic process [GO:0046034]; cellular calcium ion homeostasis [GO:0006874]; endosomal lumen acidification [GO:0048388]; Golgi lumen acidification [GO:0061795]; pexophagy [GO:0000425]; proteasome storage granule assembly [GO:1902906]; proton transmembrane transport [GO:1902600]; transmembrane transport [GO:0055085]; vacuolar acidification [GO:0007035]	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; fungal-type vacuole membrane [GO:0000329]; proton-transporting V-type ATPase complex [GO:0033176]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]; vacuole-mitochondrion membrane contact site [GO:1990816]	2521486; 8091856; 7813418; 24374639; 17322287; 1371275; 2141385; 11283612; 14562106; 15665377; 17330950; 17287358; 18055462; 18407956; 19779198; 22106047; 25971514; 27295975	
P25491	MAS5_YEAST	YDJ1	Mitochondrial protein import protein MAS5 (Yeast dnaJ protein 1)	409		'de novo' protein folding [GO:0006458]; chaperone-mediated protein complex assembly [GO:0051131]; negative regulation of DNA-templated transcription [GO:0045892]; protein refolding [GO:0042026]; protein targeting to ER [GO:0045047]; protein targeting to mitochondrion [GO:0006626]; response to heat [GO:0009408]; response to oxygen levels [GO:0070482]; tRNA import into nucleus [GO:0035719]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]	ATP binding [GO:0005524]; ATPase activator activity [GO:0001671]; chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; transcription repressor complex [GO:0017053]; TRC complex [GO:0072380]	1869583; 1729605; 8533472; 8904343; 9169873; 24374639; 1527016; 11689685; 14562095; 14562106; 18407956; 22106047; 14656432; 15701512	
Q07551	KAR_YEAST		NADPH-dependent alpha-keto amide reductase (AKR-E) (EC 1.2.1.-) (YKAR)	312		amide metabolic process [GO:0043603]; cellular aromatic compound metabolic process [GO:0006725]; cellular ketone metabolic process [GO:0042180]; cellular response to oxidative stress [GO:0034599]	alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; aldo-keto reductase (NADP) activity [GO:0004033]; alpha-keto amide reductase activity [GO:0051268]; alpha-keto ester reductase activity [GO:0051269]; oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor [GO:0016652]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	9169867; 24374639; 15564669; 11306085; 14562095; 14562106; 12627397; 17330950; 18407956	
P40093	YEY6_YEAST		MYG1 protein YER156C	338		positive regulation of cellular respiration [GO:1901857]		chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	9169868; 24374639; 17322287; 14562106	
P36015	YKT6_YEAST	YKT6	Synaptobrevin homolog YKT6 (EC 2.3.1.-)	200		amphisome-lysosome fusion [GO:0061911]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi to endosome transport [GO:0006895]; Golgi vesicle fusion to target membrane [GO:0048210]; intra-Golgi vesicle-mediated transport [GO:0006891]; intracellular protein transport [GO:0006886]; vacuole fusion, non-autophagic [GO:0042144]; vesicle fusion [GO:0006906]; vesicle fusion with Golgi apparatus [GO:0048280]	palmitoyltransferase activity [GO:0016409]; SNAP receptor activity [GO:0005484]	bounding membrane of organelle [GO:0098588]; cytosol [GO:0005829]; endosome [GO:0005768]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; SNARE complex [GO:0031201]	8196765; 24374639; 17322287; 17330950; 18407956; 19779198; 11474112	
